CustomerName,CustomerEmail,CustomerAddress,CustomerPhone,CustomerSegment,CustomerID
Colleen Kelly,maryhurst@example.org,"354 Mcdowell Turnpike, Port Charles, CT 95318",908.610.2711x8507,Silver,1
Joel Wright,sandersvictoria@example.org,"24740 Fox Villages, New Tracie, MA 53038",+1-408-938-0389x952,Gold,2
Thomas Sawyer,ospence@example.net,"769 Joe Trail, East Terri, CA 43813",001-929-516-1919x39288,Gold,3
Tyler Gardner,christopherjohnson@example.com,"27783 Olivia Centers, Williamsmouth, AL 09809",8907712983,Gold,4
Meagan Peterson,epowell@example.net,"25357 Blackwell Locks, Andreabury, MH 27857",9999921886,Gold,5
Justin Hodge,null,"PSC 1552, Box 7906, APO AP 50694",001-691-442-5371x97648,Gold,6
Kelly Williams,philip97@example.com,"5881 Shawn Fords Apt. 256, Martinezbury, NH 01010",001-275-372-4620,Silver,7
Natasha Thomas,rcole@example.org,"040 Lopez Crossing Apt. 758, Victormouth, RI 51198",998-812-6450x26711,Silver,8
Jessica Sanchez,null,"455 Mary Path, Cobbberg, PW 26662",972-968-0237x0312,Gold,9
Nathan Good,null,"27534 Jennifer Burgs Suite 449, West Lauraville, AK 18548",322.403.9678x196,Gold,10
Sylvia Cunningham,rjones@example.org,"7034 Deanna Parkway, West Tanyahaven, HI 13503",426.306.6537x2271,Gold,11
Wendy Huff,paulpeterson@example.org,"00227 Carpenter Port, North Amberberg, TN 08056",714.240.1813,Silver,12
Kelly Reyes,jennifer34@example.com,"40206 Aguilar Mall Suite 062, Port Melissahaven, CT 25473",+1-672-967-4216,Bronze,13
Melissa Moore,mcleanchristina@example.org,"USCGC Short, FPO AP 47515",(421)420-2384x559,Bronze,14
Brenda Allen,kparker@example.org,"4293 Stephanie Dale, Tracyside, MD 42098",638-315-3406x86190,Bronze,15
Cynthia Torres,nancy14@example.com,"9811 Christensen Mews, Thomasberg, TN 15366",(841)652-5216x95122,Silver,16
Brandon Young,null,"PSC 8490, Box 9669, APO AA 95271",889.384.3743,Silver,17
Kevin Powers,null,"779 Mary Lights Suite 973, Port Stephenfurt, NJ 62100",001-324-475-3151x779,Silver,18
Mrs. Kimberly Cannon PhD,null,"340 Coffey Walks Suite 580, Lake Blake, GA 34636",(678)603-2850x7004,Gold,19
Joan Mccoy,andrewsmith@example.org,"62893 Samantha Center, East Isaiahtown, NY 59347",001-760-994-3805x32824,Gold,20
Kevin Sanders,bsolis@example.net,"9766 Medina Knolls, Lake Lisa, PW 63200",(331)525-7684,Bronze,21
Katie Ortiz,annette47@example.net,"44630 Woods Junctions, Rachelfurt, SD 32020",719-696-4441,Silver,22
David Smith,valexander@example.net,"11174 Debbie Ramp, Phamport, SD 62654",3707630116,Gold,23
Yolanda Alexander,wmathews@example.com,"14472 Daniel Ferry Suite 910, Bergerview, NC 31338",391-513-3252,Silver,24
Monica Ballard,xyu@example.com,"85248 Victoria Shores, Kristinton, AR 30243",001-419-522-7141x442,Silver,25
Eric Cunningham,mary61@example.org,"2227 Mendoza Inlet, New Michelle, MA 88676",001-919-318-8737x5209,Gold,26
Ryan Rodriguez,leahgraham@example.com,"62191 Davis Viaduct Apt. 885, Lake Christyside, VI 71947",+1-613-838-2306x95686,Bronze,27
Amy Lowe MD,murrayerin@example.com,"720 Faulkner Highway Apt. 836, North Diana, LA 62813",+1-754-909-3838,Silver,28
Sarah Moore,jonesandrea@example.com,"92027 Coleman Green, New Paul, MA 98487",(504)487-8794,Bronze,29
John Thompson,allisonpatel@example.com,"283 Laurie Plaza Apt. 721, Johnsonview, KS 50723",+1-969-954-1532x681,Bronze,30
Mr. Glenn George,tbryant@example.com,"0423 Jack Trace, Port Robert, DC 58979",5274668873,Silver,31
Ann Kelly,zcooper@example.net,"8116 Williams Islands, Rowehaven, LA 83038",678-843-8499x3201,Bronze,32
April Hammond,butlernathan@example.net,"969 Fowler Path, Sharonton, MH 15799",795.811.1299,Bronze,33
Jasmine Gillespie,kathrynrivera@example.org,"93712 Christopher Locks, North Colton, OR 35884",568.399.4652x178,Silver,34
Christina Turner,andreakane@example.com,"Unit 9660 Box 4141, DPO AP 96032",848-950-9983x1925,Silver,35
Karen Johnson,pereztravis@example.net,"15204 Brenda Estates, South Pennyshire, WI 61816",(454)217-5908,Gold,36
James Rogers,moorechristine@example.com,"03249 Stephanie Keys, Lake Ericborough, LA 53064",5716240332,Gold,37
Tyler Moore,bianca14@example.net,"1794 Christopher Ports, Port Brenttown, WA 88071",+1-468-441-6197x0271,Bronze,38
Amy Watkins,thomas17@example.net,"313 Jessica Summit Apt. 110, Port Debrashire, DC 35306",645.998.8051x74261,Gold,39
Angela Landry,diana45@example.org,"3629 Christopher Throughway Suite 540, Lake Laurahaven, ME 70451",864-925-8941,Bronze,40
Joshua Oconnor,stuartkristin@example.org,"0677 Elizabeth Ridge, Heatherhaven, FL 38488",764.725.0117x9773,Gold,41
Justin Johnson,katherinecarlson@example.org,"838 Short Stravenue, Porterberg, PA 29342",947-265-7164x6937,Silver,42
Michael Nicholson,benjaminholmes@example.net,"604 Gross Terrace, North Alexandertown, TX 63870",876.533.4557,Bronze,43
Kevin Dillon,tylerfarrell@example.com,"24190 Snyder Village Apt. 107, Fosterbury, LA 25288",+1-962-259-2749x027,Gold,44
Michelle Galvan,alanwalker@example.org,"82995 Taylor Gateway Apt. 419, Port Edward, NC 12965",001-268-913-0139x728,Silver,45
Laura Bryant,null,"Unit 5811 Box 5410, DPO AE 35890",001-457-707-9730,Bronze,46
Kathy Thomas,johnfranklin@example.com,"595 Sarah Row Apt. 325, Morenoport, MH 86981",796-210-3041,Bronze,47
Taylor Griffith,perryadrienne@example.com,"6312 Cynthia Courts, Reyesshire, DC 22818",001-505-256-2829,Gold,48
Kelly Gutierrez,jerry38@example.org,"62267 Green Falls Suite 208, Melanieberg, MD 41293",519-949-8969x053,Bronze,49
David Patel,taylor42@example.net,"61990 Jasmine Drive Suite 269, South Sara, NE 72054",(515)527-3844x8203,Bronze,50
